screen_id,group,crowd_annotations,expert_annotations,gpt_annotations,app
com.maxmpz.audioplayer_screen_58.jpg,random_gptFalse,"[{'user_id': 'worker_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_2', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_3', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_4', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_5', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_6', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}]","[{'user_id': 'expert_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}]",[],com.maxmpz.audioplayer
com.sports.schedules.football.ncaa_screen_10.jpg,random_gptFalse,"[{'user_id': 'worker_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_3', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_4', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_5', 'label': 'II-AM-G-SMALL', 'bbox': [144, 31, 206, 40], 'source_wh': [1080, 2340]}, {'user_id': 'worker_6', 'label': 'II-AM-G-SMALL', 'bbox': [18, 7, 1022, 1853], 'source_wh': [1080, 2340]}]","[{'user_id': 'expert_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}]",[],com.sports.schedules.football.ncaa
tr.com.instreet_screen_83.jpg,random_gptFalse,"[{'user_id': 'worker_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_2', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_3', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_4', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_5', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_6', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}]","[{'user_id': 'expert_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}]",[],tr.com.instreet
com.briox.riversip.android.tech.science_screen_59.jpg,random_gptFalse,"[{'user_id': 'worker_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_2', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_3', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_4', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_5', 'label': 'FA-G-PRO', 'bbox': [19, 34, 1910, 68], 'source_wh': [1920, 1080]}, {'user_id': 'worker_6', 'label': 'II-AM-G-SMALL', 'bbox': [389, 2, 1901, 1058], 'source_wh': [1920, 1080]}]","[{'user_id': 'expert_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}]",[],com.briox.riversip.android.tech.science
in.co.websites.websitesapp_screen_222.jpg,random_gptFalse,"[{'user_id': 'worker_1', 'label': 'NG-AD', 'bbox': [22, 418, 1078, 878], 'source_wh': [1080, 1920]}, {'user_id': 'worker_2', 'label': 'FA-G-PRO', 'bbox': [9, 410, 1069, 875], 'source_wh': [1080, 1920]}, {'user_id': 'worker_3', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_4', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_5', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_6', 'label': 'FA-G-PRO', 'bbox': [6, 398, 1035, 856], 'source_wh': [1080, 1920]}]","[{'user_id': 'expert_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}]",[],in.co.websites.websitesapp
tr.com.instreet_screen_18.jpg,random_gptFalse,"[{'user_id': 'worker_1', 'label': 'II-AM-FH', 'bbox': [69, 916, 1032, 1252], 'source_wh': [1080, 2340]}, {'user_id': 'worker_2', 'label': 'FA-G-PRO', 'bbox': [9, 572, 1054, 1266], 'source_wh': [1080, 2340]}, {'user_id': 'worker_3', 'label': 'NG-AD', 'bbox': [75, 598, 1000, 1236], 'source_wh': [1080, 2340]}, {'user_id': 'worker_4', 'label': 'II-AM-FH', 'bbox': [521, 794, 993, 1318], 'source_wh': [1080, 2340]}, {'user_id': 'worker_5', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_6', 'label': 'II-AM-FH', 'bbox': [94, 630, 981, 1207], 'source_wh': [1080, 2340]}]","[{'user_id': 'expert_1', 'label': 'II-AM-FH', 'bbox': [142, 990, 947, 1212], 'source_wh': [1080, 2340]}]","[{'user_id': 'gpt', 'label': 'II-AM-FH', 'bbox': [270, 1600, 810, 1800], 'source_wh': [1080, 2340]}]",tr.com.instreet
com.accurate.weather.forecast.live_screen_107.jpg,random_gptFalse,"[{'user_id': 'worker_1', 'label': 'II-AM-FH', 'bbox': [40, 1286, 1067, 1701], 'source_wh': [1080, 2340]}, {'user_id': 'worker_2', 'label': 'FA-G-PRO', 'bbox': [1, 1408, 1072, 1599], 'source_wh': [1080, 2340]}, {'user_id': 'worker_3', 'label': 'FA-G-PRO', 'bbox': [163, 1435, 941, 1572], 'source_wh': [1080, 2340]}, {'user_id': 'worker_4', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_5', 'label': 'FA-G-PRO', 'bbox': [37, 39, 1070, 110], 'source_wh': [1080, 2340]}, {'user_id': 'worker_6', 'label': 'II-AM-FH', 'bbox': [70, 1414, 1024, 1602], 'source_wh': [1080, 2340]}]","[{'user_id': 'expert_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}]","[{'user_id': 'gpt', 'label': 'FA-G-PRO', 'bbox': [0, 1500, 1080, 1650], 'source_wh': [1080, 2340]}]",com.accurate.weather.forecast.live
in.co.websites.websitesapp_screen_121.jpg,random_gptFalse,"[{'user_id': 'worker_1', 'label': 'NG-AD', 'bbox': [22, 66, 1070, 282], 'source_wh': [1080, 1920]}, {'user_id': 'worker_2', 'label': 'II-AM-G-SMALL', 'bbox': [1, 71, 1072, 248], 'source_wh': [1080, 1920]}, {'user_id': 'worker_3', 'label': 'II-AM-G-SMALL', 'bbox': [0, 64, 1073, 251], 'source_wh': [1080, 1920]}, {'user_id': 'worker_4', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_5', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_6', 'label': 'FA-G-PRO', 'bbox': [18, 599, 1052, 1043], 'source_wh': [1080, 1920]}, {'user_id': 'worker_6', 'label': 'II-AM-FH', 'bbox': [0, 66, 1071, 239], 'source_wh': [1080, 1920]}]","[{'user_id': 'expert_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}]",[],in.co.websites.websitesapp
com.karaplay.karaokepro_screen_46.jpg,random_gptFalse,"[{'user_id': 'worker_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_2', 'label': 'II-AM-FH', 'bbox': [9, 1084, 1045, 1485], 'source_wh': [1080, 2340]}, {'user_id': 'worker_3', 'label': 'II-AM-FH', 'bbox': [60, 1113, 719, 1215], 'source_wh': [1080, 2340]}, {'user_id': 'worker_4', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_5', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_6', 'label': 'NG-AD', 'bbox': [29, 1097, 1063, 1684], 'source_wh': [1080, 2340]}]","[{'user_id': 'expert_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}]",[],com.karaplay.karaokepro
com.uefa.ucl_screen_78.jpg,random_gptFalse,"[{'user_id': 'worker_1', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_2', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_3', 'label': 'II-AM-FH', 'bbox': [736, 443, 1064, 586], 'source_wh': [1080, 2340]}, {'user_id': 'worker_4', 'label': 'II-AM-FH', 'bbox': [580, 513, 688, 554], 'source_wh': [1080, 2340]}, {'user_id': 'worker_5', 'label': 'No_Dark_Patterns', 'bbox': None, 'source_wh': None}, {'user_id': 'worker_6', 'label': 'NG-AD', 'bbox': [15, 423, 1063, 619], 'source_wh': [1080, 2340]}]","[{'user_id': 'expert_1', 'label': 'II-AM-FH', 'bbox': [757, 268, 1041, 586], 'source_wh': [1080, 2340]}]","[{'user_id': 'gpt', 'label': 'II-AM-FH', 'bbox': [780, 200, 980, 300], 'source_wh': [1080, 2340]}]",com.uefa.ucl
